DB file ID,Turbo,Rating,Origin,Year,Decade,Mass,Model,Version,RefCount,Author,Class,vehFile,Type,Aero,Aids,F/R/4WD,originalFolder,Continent,Manufacturer,Category,Scene Description,GraphicDetailsFactor,URL,Gearshift,AIstrengthFactor,tType,Name,ID,Country,Flags,MinVersion,Track Name
BTCC_NGTC_Ford_Focus,1,,0,,,1326,Focus,1.3,1,,BTCC,FOCUS4_12.VEH,2,0,,FRONT,Installed\vehicles\BTCC_NGTC_Ford_Focus\1.3,,Ford,10,,,,Paddles,,Touring,BTCC_NGTC_Ford_Focus,,,3158016,,
BTCC_NGTC_Ford_Focus_RS,0,,0,,,,Focus RS,0.95,6,Studio 397?,BTCC,FOCUS_RS_20_18.VEH,2,1,,REAR,Installed\vehicles\BTCC_NGTC_Ford_Focus_RS\0.95,,Ford,10,,,,Paddles,,Touring,BTCC_NGTC_Ford_Focus_RS,,,271593472,,
BTCC_NGTC_Mercedes_A45,0,,0,1945,1940-,,A45,0.95,6,Studio 397?,BTCC,A45_33_15.VEH,2,1,,REAR,Installed\vehicles\BTCC_NGTC_Mercedes_A45\0.95,,Mercedes,10,,,,Paddles,,Touring,BTCC_NGTC_Mercedes_A45,,,271593536,,
BTCC_NGTC_MG6_GT,0,,0,,,,6 GT,0.95,6,Studio 397?,BTCC,MG6_66_16.VEH,2,1,,REAR,Installed\vehicles\BTCC_NGTC_MG6_GT\0.95,,MG,10,,,,Paddles,,Touring,BTCC_NGTC_MG6_GT,,,271593472,,
BTCC_NGTC_Subaru_Levorg,0,,0,,,,Levorg,0.95,6,Studio 397?,BTCC,LEVORG_116_17.VEH,2,1,,REAR,Installed\vehicles\BTCC_NGTC_Subaru_Levorg\0.95,,Subaru,10,,,,Paddles,,Touring,BTCC_NGTC_Subaru_Levorg,,,271593472,,
BTCC_NGTC_Toyota_Avensis,1,,0,,,1326,Avensis,1.3,1,,BTCC,AVENSIS11_11.VEH,2,0,,FRONT,Installed\vehicles\BTCC_NGTC_Toyota_Avensis\1.3,,Toyota,10,,,,Paddles,,Touring,BTCC_NGTC_Toyota_Avensis,,,3158016,,
BTCC_NGTC_Vauxhall_Astra,0,,1,,,,Astra,0.95,6,Studio 397?,BTCC,ASTRA_18S_17.VEH,2,1,,REAR,Installed\vehicles\BTCC_NGTC_Vauxhall_Astra\0.95,,Vauxhall,10,,,,Paddles,,Touring,BTCC_NGTC_Vauxhall_Astra,,,271593472,,
C6R_2009,0,,0,2009,2000-,,C6R,1.93,1,Studio 397?,,C6R_00.VEH,2,1,,REAR,Installed\vehicles\C6R_2009\1.93,,Chevrolet,0,,,,Paddles,,,C6R_2009,AAA9999,,270536704,,
Callaway_Corvette_GT3_2017,0,,0,2017,2010-,,Corvette,2.49,1,Studio 397?,GT3,121AJIRABAA3D65D.VEH,2,1,,REAR,Installed\vehicles\Callaway_Corvette_GT3_2017\2.49,,Callaway,0,,,,Paddles,,,Callaway_Corvette_GT3_2017,AAA9999,,270569473,,
Camaro_2012,0,,0,2012,2010-,,Camaro,1.94,1,Studio 397?,,CAMARO_27.VEH,2,1,,REAR,Installed\vehicles\Camaro_2012\1.94,,Chevrolet,0,,,,Paddles,,,Camaro_2012,AAA9999,,271593472,,
Caterham7_14K_Classic,0,,1,2014,2010-,610,K Classic,1.01,1,MikeeCZ & MajorParts,,CLASSIC_BLACKYELLOW_B.VEH,2,0,,REAR,Installed\vehicles\Caterham7_14K_Classic\1.01,,Caterham7,9,,,,H5,,Street,Caterham7_14K_Classic,cat7_14k,,270536704,,
ClioCup_2010,0,,0,2010,2010-,,Clio Cup,1.93,1,Studio 397?,,CLIO_17.VEH,2,1,,REAR,Installed\vehicles\ClioCup_2010\1.93,,Renault,0,,,,Paddles,,,ClioCup_2010,AAA9999,,270536704,,
Clio_PC,0,,1,,,1130,PC,1,1,,,CLIO_PC.VEH,2,1,,FRONT,Installed\vehicles\Clio_PC\1.0,,Renault,9,,,,Paddles,,Street,Clio_PC,,,0,,
CorvettePC,0,,1,,,1624,Corvette PC,1,1,ISI,,CORVETTEPC.VEH,2,1,,REAR,Installed\vehicles\CorvettePC\1.0,,Chevrolet,9,,,http://rfactor.net/downloads/getmod.php,Paddles,,Street,CorvettePC,,,3145728,,
CorvettePCLights,0,,0,,,1624,Corvette PC Lights,1,1,,,CORVETTEPCLIGHTS.VEH,2,1,,REAR,Installed\vehicles\CorvettePCLights\1.0,,Chevrolet,0,,,,Paddles,,,CorvettePCLights,,,0,,
Corvette_C7R_GTE_2017,0,,0,2017,2010-,,C7R,2.01,1,Studio 397?,GTE,MAX_ERU329ADE028.VEH,2,1,,REAR,Installed\vehicles\Corvette_C7R_GTE_2017\2.01,,Corvette,0,,,,Paddles,,,Corvette_C7R_GTE_2017,AAA9999,,270569473,,
DallaraDW12_2014,0,,0,2014,2010-,,DW12,1.998,1,Studio 397?,,DW12_19.VEH,2,1,,REAR,Installed\vehicles\DallaraDW12_2014\1.998,,Dallara,0,,,,Paddles,,,DallaraDW12_2014,AAA9999,,270536704,,
Datsun Bluebird,0,,0,,,850,Bluebird,0.2.0,1,,,BLUEBIRD_SSS_1.VEH,2,0,,REAR,Installed\vehicles\datsun bluebird\0.2.0,,Datsun,0,,,,H5,,,Datsun Bluebird,,,270536704,,
Devbot Enterprises Super Formula V10 2017,0,,1,2017,2010-,663,Enterprises Super Formula V10,2.1.1,1,Devin,,DESF_2017_10.VEH,2,1,,REAR,Installed\vehicles\Devbot Enterprises Super Formula V10 2017\2.1.1,,Devbot,6,,,,Paddles,,Open,Devbot Enterprises Super Formula V10 2017,DESFV102017,,270536704,,
ER_Endurance_Series_rF2,0,,1,,,,Endurance Series Rf2,3,1,EnduRacers & GR,,FLAT6GTC_100023.VEH,2,1,,REAR,Installed\vehicles\ER_Endurance_Series_rF2\3.00,,Porsche,3,,,www.enduracers.com,Paddles,,GT,ER_Endurance_Series_rF2,,,270536704,,
ER_Flat6_Series_rF2,0,,1,,,,Flat6 Series Rf2,5,1,EnduRacers & GR,,FLAT6GT3_106009.VEH,2,1,,REAR,Installed\vehicles\ER_Flat6_Series_rF2\5.00,,Porsche,10,,,www.enduracers.com,Paddles,,Touring,ER_Flat6_Series_rF2,,,270536704,,
EVE_MATRA_F1,0,,0,,,660,Matra,1,2,,F1,MS10MATRA_09.VEH,2,0,,REAR,Installed\vehicles\eve_matra_f1\1.0,,Eve,0,,,,H5,,,EVE_MATRA_F1,,,271593472,,
F1 1968,0,,0,1968,1960-,,,1,2,Billy Blaze,F1,MS10_1.VEH,2,1,,REAR,Installed\vehicles\F1 1968\1.0,,,6,,,,Paddles,,Open,F1 1968,,,271593472,,
F1 1996 - SL1DE,0,,2,1996,1990-,595,Sl1De,1.77,1,SL1DE,F1,1996_FERRARI_01_EQ.VEH,2,1,,REAR,Installed\vehicles\F1 1996 - SL1DE\1.77,,-,6,,,,Paddles,,Open,F1 1996 - SL1DE,,,270536704,,
F1 1998,0,,2,1998,1990-,,,0.1,1,Studio 397?,F1,F1_1998_17.VEH,2,1,,REAR,Installed\vehicles\F1 1998\0.1,,,6,,,,Paddles,,Open,F1 1998,,,270536704,,
F1RFT_2013_FB_1.4,0,,3,2013,2010-,1714,Fb 1.4,1.4,1,"F1RFT, Frenky & Bjørn",F1,F1RFT_20.VEH,2,1,,REAR,Installed\vehicles\F1RFT_2013_FB_1.4\1.4,,Rft,6,,,,Paddles,,Open,F1RFT_2013_FB_1.4,,,3145728,,
F1_1979_ALFAROMEO_HE,0,,0,1979,1970-,670,He,0.97,1,,F1,35_GIACOMELLI.VEH,2,1,,REAR,Installed\vehicles\F1_1979_ALFAROMEO_HE\0.97,,Alfa Romeo,0,,,,H6,,,F1_1979_ALFAROMEO_HE,,,271593472,,
F1_1979_ARROWS_HE,0,,0,1979,1970-,666,He,0.97,1,,F1,29_PATRESE.VEH,2,1,,REAR,Installed\vehicles\F1_1979_ARROWS_HE\0.97,,Arrows,0,,,,H5,,,F1_1979_ARROWS_HE,,,271593472,,
F1_1979_ATS_HE,0,,0,1979,1970-,695,He,0.97,1,,F1,9_STUCK.VEH,2,1,,REAR,Installed\vehicles\F1_1979_ATS_HE\0.97,,ATS,0,,,,H5,,,F1_1979_ATS_HE,,,271593472,,
F1_1979_BRABHAM_HE,0,,0,1979,1970-,655,He,0.97,1,,F1,5_LAUDA.VEH,2,1,,REAR,Installed\vehicles\F1_1979_BRABHAM_HE\0.97,,Brabham,0,,,,H6,,,F1_1979_BRABHAM_HE,,,271593472,,
F1_1979_ENSIGN_HE,0,,0,1979,1970-,687,He,0.97,1,,F1,22_DALY.VEH,2,1,,REAR,Installed\vehicles\F1_1979_ENSIGN_HE\0.97,,Ensign,0,,,,H5,,,F1_1979_ENSIGN_HE,,,271593472,,
F1_1979_FERRARI_HE,0,,0,1979,1970-,665,He,0.97,1,,F1,11_SCHECKTER.VEH,2,1,,REAR,Installed\vehicles\F1_1979_FERRARI_HE\0.97,,Ferrari,0,,,,H5,,,F1_1979_FERRARI_HE,,,271593472,,
